=== Sweep: 3 datasets × 4 strategies × 4 budgets = 48 runs ===


[1] ring | Baseline | b=0.0
  Epoch 060 | Loss 1.2286 | Val 0.6667 | Test 0.6000
  Epoch 080 | Loss 1.2421 | Val 0.6667 | Test 0.5333
  Epoch 100 | Loss 1.1646 | Val 0.7467 | Test 0.7867
  Epoch 120 | Loss 1.2393 | Val 0.5867 | Test 0.6000
  Epoch 140 | Loss 1.2865 | Val 0.7867 | Test 0.8533
  Epoch 160 | Loss 1.2163 | Val 0.8267 | Test 0.8267
  Epoch 180 | Loss 1.1701 | Val 0.6533 | Test 0.4933
  Epoch 200 | Loss 1.2398 | Val 0.6267 | Test 0.6667
  → acc=0.827 | MAD=0.334 | jac=0.5950 | E=50

[14] cora | Baseline | b=0.0
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.x
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.tx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.allx
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.y
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.ty
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.ally
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.graph
Downloading https://github.com/kimiyoung/planetoid/raw/master/data/ind.cora.test.index
Processing...
Done!
  Epoch 050 | Loss 1.2107 | Val 0.7880 | Test 0.7940
  Epoch 100 | Loss 0.7879 | Val 0.8020 | Test 0.8160
  Epoch 150 | Loss 0.7338 | Val 0.8020 | Test 0.8180
  Epoch 200 | Loss 0.6628 | Val 0.7980 | Test 0.8110
  → acc=0.832 | MAD=0.669 | jac=7.4691 | E=5278

[15] cora | Random | b=0.0
  Epoch 050 | Loss 1.0999 | Val 0.7980 | Test 0.8170
  Epoch 100 | Loss 0.8479 | Val 0.7920 | Test 0.8040
  Epoch 150 | Loss 0.7480 | Val 0.7980 | Test 0.8150
  Epoch 200 | Loss 0.7304 | Val 0.8080 | Test 0.8290
  → acc=0.834 | MAD=0.654 | jac=4.7839 | E=5278

[16] cora | Random | b=0.25
  Epoch 050 | Loss 1.3476 | Val 0.7480 | Test 0.7610
  Epoch 100 | Loss 0.9879 | Val 0.7580 | Test 0.7630
  Epoch 150 | Loss 0.8270 | Val 0.7360 | Test 0.7470
  Epoch 200 | Loss 0.6564 | Val 0.7580 | Test 0.7890
  → acc=0.790 | MAD=0.600 | jac=6.3092 | E=6597

[17] cora | Random | b=0.75
  Epoch 050 | Loss 1.5837 | Val 0.7020 | Test 0.6550
  Epoch 100 | Loss 1.0885 | Val 0.7080 | Test 0.6770
  Epoch 150 | Loss 0.9505 | Val 0.7040 | Test 0.6890
  Epoch 200 | Loss 0.7936 | Val 0.7080 | Test 0.6890
  → acc=0.714 | MAD=0.465 | jac=2.7143 | E=9236

[18] cora | Random | b=1.5
  Epoch 050 | Loss 1.7608 | Val 0.4280 | Test 0.4410
  Epoch 100 | Loss 1.4680 | Val 0.5360 | Test 0.5250
  Epoch 150 | Loss 1.2325 | Val 0.6460 | Test 0.6260
  Epoch 200 | Loss 1.0178 | Val 0.6440 | Test 0.6500
  → acc=0.646 | MAD=0.392 | jac=2.5950 | E=13195

[19] cora | K-hop | b=0.0
  Epoch 050 | Loss 1.2137 | Val 0.7820 | Test 0.8070
